Russisch;Deutsch;Grammatik;Formen;Quelle
вы;Sie, ihr;Personalpron., 2. Pers. Pl./Höflichkeitsform;;Das laute Büro.txt
планы рухнули;Pläne sind gescheitert;;;Vokabeln Homework 06-02-26.txt
на уро́к;zum Unterricht;;;Russisch_5_1_Vokabeln_Quizlet.txt
Джон;John;Eigenname, männl.;;Frank und seine Hobbies.txt
лада;Lada;weibl. Markenname;;МОЯ ФИРМА.txt
сегодня;heute;Adverb;;МОЯ ФИРМА.txt
её;ihr, ihre;Possessivpronomen/Personalpronomen;Её;Frauen im Mutterschutz.txt
хотеть;wollen;unvollendeter Aspekt;хочет;Frauen im Mutterschutz.txt
спекта́кль;Vorstellung / Theaterstück;;;Russisch_5_1_Vokabeln_Quizlet.txt
вставать;aufstehen;Verb - Tätigkeit;;Vokabeln Homework 06-02-26.txt
нуль;Null;männl.;;Frauen im Mutterschutz.txt
я одева́юсь;ich ziehe mich an;;;Russisch_5_1_Vokabeln_Quizlet.txt
порядок;Ordnung;Subst., männl., Präp. Sg.;;Das laute Büro.txt
обычно;gewöhnlich / normalerweise;;;Vokabelliste_Mutterschutz.txt
продуктивная;produktiv;;;Vokabelliste_Mutterschutz.txt
заниматься;sich beschäftigen;unvollendeter Aspekt, Infinitiv;;Frauen im Mutterschutz.txt
в десять часов;um zehn Uhr;в + Akkusativ - Zeitpunkt;;Vokabeln Homework 06-02-26.txt
вечер;Abend;männl.;;Frauen im Mutterschutz.txt
быстро и точно;schnell und genau;Adverbien;;AI: МОЯ ФИРМА
теа́тр;Theater;;;Russisch_5_1_Vokabeln_Quizlet.txt
ждать;warten;unvollendeter Aspekt;ждёт;Frauen im Mutterschutz.txt
или;oder;Konjunktion;или;Frauen im Mutterschutz.txt
Вре́мя бежи́т.;Die Zeit rennt.;;;Russisch_5_1_Vokabeln_Quizlet.txt
угол;Ecke;Subst., männl., Präp. Sg.;;Das laute Büro.txt
рано утром;früh am Morgen;Adverbialphrase;;AI: МОЯ ФИРМА
чита́ть но́вости;Nachrichten lesen;;;Russisch_5_1_Vokabeln_Quizlet.txt
его;ihn, sein;Personalpronomen, 3. Pers. Sg. männl.;;Frank und seine Hobbies.txt
помнить;sich erinnern;Verb, unvollendeter Aspekt, 2. Pers. Pl. Präs.;;Das laute Büro.txt
полное восстановление здоровья;vollkommene Herstellung der Gesundheit;;;Vokabeln - Einführung Psychoanalyse.txt
что;was, dass;Interrogativ-/Relativpronomen, Konjunktion;;Das laute Büro.txt
гитара;Gitarre;Substantiv, weibl.;;Frank und seine Hobbies.txt
он/она́ бу́дет;er/sie wird;;;Russisch_5_1_Vokabeln_Quizlet.txt
клиенты;Kunden;м, мн.ч.;;AI: МОЯ ФИРМА
мужчи́на;der Mann;;;Familie.txt
С семи часов до восьми часов я смотрю новости в Интернете.;Von 7:00 bis 8:00 Uhr schaue ich mir die Nachrichten im Internet an.;;;Vokabeln Homework 06-02-26.txt
что;dass, was;Konjunktion/Pronomen;что;Frauen im Mutterschutz.txt
сейчас;jetzt;Adv.;;Das laute Büro.txt
детектив;Krimi;Substantiv, männl.;;Frank und seine Hobbies.txt
психологический комфорт;das psychologische Wohlbefinden;;;Vokabelliste_Mutterschutz.txt
в;in;Präp. + Präpositiv/Akkusativ;в;Frauen im Mutterschutz.txt
продуктивный;produktiv;Adjektiv;продуктивная;Frauen im Mutterschutz.txt
Дмитриевич;Dmitrijewitsch;männl. Vatersname;;AI: МОЯ ФИРМА
быстро;schnell;Adverb;;МОЯ ФИРМА.txt
в рестора́н;ins Restaurant;;;Russisch_5_1_Vokabeln_Quizlet.txt
оте́ц;der Vater;;;Familie.txt
Кото́рый час?;Wie spät ist es?;;;Russisch_5_1_Vokabeln_Quizlet.txt
делать;machen;unvollendeter Aspekt;делать;Frauen im Mutterschutz.txt
идти́ спать;schlafen gehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
стоять в очереди;in der Schlange stehen;;;workbook_p_100.txt
в наше время;in unserer Zeit;Zeitangabe;;МОЯ ФИРМА.txt
гото́вить обе́д;Mittagessen kochen;;;Russisch_5_1_Vokabeln_Quizlet.txt
её зовут;sie heißt;feste Wendung;;Frank und seine Hobbies.txt
принтер;Drucker;Subst., männl., Nom. Sg.;;Das laute Büro.txt
наш;unser;Possessivpronomen;;Frank und seine Hobbies.txt
сла́бый;schwach;;;Antonyme.txt
рыбалка;das Angeln;;;workbook_p_100.txt
Вре́мя лети́т.;Die Zeit fliegt.;;;Russisch_5_1_Vokabeln_Quizlet.txt
Окей;Okay;Interjektion;;AI: МОЯ ФИРМА
гото́вить;kochen;;;Russisch_5_1_Vokabeln_Quizlet.txt
дом;Haus;;;Bilder-Test.txt
дом;Haus, Heim;männl. Subst.;домой, дома;Frauen im Mutterschutz.txt
мочь;können;unvollendeter Aspekt;может;Frauen im Mutterschutz.txt
потому что;weil, da;kausale Konjunktion;;AI: МОЯ ФИРМА
краситься;sich schminken;Reflexives Verb auf -ся;;Vokabeln Homework 06-02-26.txt
премье́ра;Premiere;;;Russisch_5_1_Vokabeln_Quizlet.txt
начинаться;beginnen / anfangen;;;workbook_p_100.txt
который час?;Wie spät ist es?;;;workbook_p_100.txt
часто;oft;Adverb;;МОЯ ФИРМА.txt
си́льный;stark;;;Antonyme.txt
парк;der Park;;;workbook_p_100.txt
беспорядок;die Unordnung / das Chaos;;;workbook_p_100.txt
поэтому;deshalb, darum;Adverb, konsekutiv;;AI: МОЯ ФИРМА
кончать;beenden;unvollendeter Aspekt;;МОЯ ФИРМА.txt
вещь;Sache, Gegenstand;Subst., weibl., Nom. Pl.;;Das laute Büro.txt
вкусный;lecker;Adjektiv;;AI: МОЯ ФИРМА
мину́та;"Minute (1; 21; 31...)";;;Russisch_5_1_Vokabeln_Quizlet.txt
счастливый;glücklich;Adjektiv;счастливая;Frauen im Mutterschutz.txt
лимон;die Zitrone;;;workbook_p_100.txt
одева́ться;sich anziehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
убира́ть кварти́ру;die Wohnung aufräumen;;;Russisch_5_1_Vokabeln_Quizlet.txt
наконец;endlich;Adverb;;МОЯ ФИРМА.txt
опять;wieder / schon wieder;;;Vokabelliste_Mutterschutz.txt
продукты;Lebensmittel;;;workbook_p_100.txt
комплимент;Kompliment;männl.;;МОЯ ФИРМА.txt
играть в футбол;Fußball spielen;;;workbook_p_100.txt
результат;Ergebnis;männl. Subst.;результата, результат;Frauen im Mutterschutz.txt
гото́вить у́жин;Abendessen kochen;;;Russisch_5_1_Vokabeln_Quizlet.txt
На работе мы обычно видим результат: новый контракт, интересная командировка, продуктивная встреча. А дома – ничего! Женщина убирает квартиру, а через час опять беспорядок. А если нет результата, то психологический комфорт женщины на нуле. Она теряет мотивацию;но всё равно должна каждый день делать домашние дела.;;;Frauen im Mutterschutz.txt
каждый день;jeden Tag;Zeitangabe;;Frauen im Mutterschutz.txt
без выходных;ohne freie Tage;Prepositionalphrase;без выходных;Frauen im Mutterschutz.txt
ни́зкий;niedrig / klein (Größe);;;Antonyme.txt
заканчиваться;enden;unvollendeter Aspekt;заканчивается;Frauen im Mutterschutz.txt
урок;die Unterrichtsstunde;;;workbook_p_100.txt
весёлая;fröhlich;;;Vokabelliste_Mutterschutz.txt
ещё;noch, außerdem;Adverb;;Frank und seine Hobbies.txt
вкусно;lecker;Adverb;;МОЯ ФИРМА.txt
читать газету;Zeitung lesen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
счастливая;glücklich;;;Vokabelliste_Mutterschutz.txt
встава́ть;aufstehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
я кра́шусь;ich schminke mich;;;Russisch_5_1_Vokabeln_Quizlet.txt
они́ иду́т;sie gehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
это;das;Demonstrativpronomen;;Frank und seine Hobbies.txt
рабочий день;der Arbeitstag;;;workbook_p_100.txt
готовить ужин;das Abendessen kochen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
играть;spielen;unvollendeter Aspekt;;Frank und seine Hobbies.txt
жена́;die Ehefrau;;;Familie.txt
бриться;sich rasieren;;;workbook_p_100.txt
точно;genau, exakt;Adverb;;AI: МОЯ ФИРМА
ты бу́дешь;du wirst;;;Russisch_5_1_Vokabeln_Quizlet.txt
сын;der Sohn;;;workbook_p_100.txt
утром;am Morgen;Adverb, Instrumental;;AI: МОЯ ФИРМА
общаться / общение;kommunizieren / Kommunikation;;;Vokabeln Homework 06-02-26.txt
ме́дленный;langsam;;;Antonyme.txt
жена;Ehefrau;weibl. Subst.;жена;Frauen im Mutterschutz.txt
приятного аппетита;guten Appetit;Höflichkeitsformel;;МОЯ ФИРМА.txt
Моя внучка Тея идёт в школу с восьми часов до тринадцати часов.;Meine Enkeltochter Thea geht von acht Uhr bis dreizehn Uhr in die Schule.;;;Vokabeln Homework 06-02-26.txt
за́втракать;frühstücken;;;Russisch_5_1_Vokabeln_Quizlet.txt
Во сколько вы ужинаете?;Um wie viel Uhr essen Sie zu Abend?;;;workbook_p_100.txt
целый ряд;eine Reihe;;;Vokabeln - Einführung Psychoanalyse.txt
на вы́ставку;zur Ausstellung;;;Russisch_5_1_Vokabeln_Quizlet.txt
ожидать;erwarten;unvollendeter Aspekt;ожидает;Frauen im Mutterschutz.txt
на ле́кцию;zur Vorlesung;;;Russisch_5_1_Vokabeln_Quizlet.txt
квартира;die Wohnung;;;workbook_p_100.txt
Что вы делаете после ужина?;Was machen Sie nach dem Abendessen?;;;workbook_p_100.txt
ста́рый (Ding);alt (Gegenstand);;;Antonyme.txt
Например, когда ребёнок спит, женщина планирует заниматься спортом, убирать квартиру, говорить с подругами по телефону или читать книги. А что, если ребёнок не хочет спать? Её планы рухнули: она не может заниматься спортом, убирать квартиру;говорить с подругами по телефону или читать книги – она должна быть с ребёнком.;;;Frauen im Mutterschutz.txt
малы́ш;das Baby;;;Familie.txt
трениро́вка;Training;;;Russisch_5_1_Vokabeln_Quizlet.txt
муж;der Ehemann;;;Familie.txt
телефон;das Telefon;;;Vokabelliste_Mutterschutz.txt
на фильм;zum Film;;;Russisch_5_1_Vokabeln_Quizlet.txt
В полночь я иду спать.;Um Mitternacht gehe ich schlafen.;;;Vokabeln Homework 06-02-26.txt
есть;haben, sein;Verb sein/haben;;AI: МОЯ ФИРМА
в парк;in den Park;;;Russisch_5_1_Vokabeln_Quizlet.txt
за́втрак;Frühstück;;;Russisch_5_1_Vokabeln_Quizlet.txt
если;wenn;Konjunktion;если;Frauen im Mutterschutz.txt
давно;lange;Adverb;;МОЯ ФИРМА.txt
музыка;Musik;Substantiv, weibl.;;Frank und seine Hobbies.txt
добрый день;guten Tag;Begrüßungsformel;;Das laute Büro.txt
со́лнце;Sonne;;;Bilder-Test.txt
смотре́ть телеви́зор;fernsehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
никогда не;niemals;Verneinung mit не;;AI: МОЯ ФИРМА
язык;Sprache;männl.;;МОЯ ФИРМА.txt
не;nicht;Negationspartikel;не, нет;Frauen im Mutterschutz.txt
общаться;sich unterhalten / kommunizieren;;;workbook_p_100.txt
сидеть;sitzen;unvollendeter Aspekt;сидит, сидеть;Frauen im Mutterschutz.txt
;Haus (nur Bild);;;Bilder-Test.txt
думать;denken;unvollendeter Aspekt;думают;Frauen im Mutterschutz.txt
В двадцать часов тридцать минут я ужинаю.;Ich esse um halb neun zu Abend.;;;Vokabeln Homework 06-02-26.txt
по́сле трениро́вки;nach dem Training;;;Russisch_5_1_Vokabeln_Quizlet.txt
) вечером;abends;Adverb (Instrumental;;МОЯ ФИРМА.txt
подруга;die Freundin;;;Vokabelliste_Mutterschutz.txt
В субботу в пятнадцать часов я убираю квартиру.;Ich putze die Wohnung samstags um 15:00 Uhr.;;;Vokabeln Homework 06-02-26.txt
ко́шка и соба́ка;Katze und Hund;;;Bilder-Test.txt
лежать;liegen;Verb, unvollendeter Aspekt, 3. Pers. Pl. Präs.;;Das laute Büro.txt
готовка;das Kochen;;;workbook_p_100.txt
часа́;"Stunden (2; 3; 4; 22...)";;;Russisch_5_1_Vokabeln_Quizlet.txt
я бу́ду;ich werde;;;Russisch_5_1_Vokabeln_Quizlet.txt
дети (Pl.);die Kinder;;;Vokabelliste_Mutterschutz.txt
юрист;Jurist;Substantiv, männl.;;Frank und seine Hobbies.txt
папа;Papa;Substantiv, männl.;;Frank und seine Hobbies.txt
деньги;Geld;Pl.;;МОЯ ФИРМА.txt
сего́дня ве́чером;heute Abend;;;Russisch_5_1_Vokabeln_Quizlet.txt
встреча;Treffen;weibl. Subst.;встреча;Frauen im Mutterschutz.txt
на рабо́ту;zur Arbeit;;;Russisch_5_1_Vokabeln_Quizlet.txt
клиент;Klient;männl.;;МОЯ ФИРМА.txt
дом;das Haus / das Zuhause;;;Vokabelliste_Mutterschutz.txt
планы рухнули;die Pläne sind geplatzt / zusammengebrochen;;;workbook_p_100.txt
начинать;anfangen;unvollendeter Aspekt;;МОЯ ФИРМА.txt
коро́ткий;kurz;;;Antonyme.txt
цветок;Blume;Subst., männl., Nom. Pl.;;Das laute Büro.txt
точно;genau;Adverb;;МОЯ ФИРМА.txt
В восемь часов тридцать минут я одеваюсь.;Um 8:30 ziehe ich mich an.;;;Vokabeln Homework 06-02-26.txt
у него есть;er hat;Besitzkonstruktion;;МОЯ ФИРМА.txt
у меня есть;ich habe;Besitzkonstruktion;;Frank und seine Hobbies.txt
работа;Arbeit;weibl. Subst.;работы, работе, работа;Frauen im Mutterschutz.txt
джаз;Jazz;Substantiv, männl.;;Frank und seine Hobbies.txt
ма́льчик;der Junge;;;Familie.txt
Иванович;Iwanowitsch;männl. Patronym;;МОЯ ФИРМА.txt
без выходных;ohne Wochenende;Präpositionalphrase;;Frauen im Mutterschutz.txt
весёлый;fröhlich / lustig;;;Antonyme.txt
горя́чий;heiß;;;Antonyme.txt
это работа 24/7;das ist ein 24/7-Job;;;workbook_p_100.txt
говорить по телефону;telefonieren;;;Vokabelliste_Mutterschutz.txt
в декрете;im Mutterschaftsurlaub;Präpositionalphrase;;Frauen im Mutterschutz.txt
электроплитка;Kochplatte;weibl.;;AI: МОЯ ФИРМА
работа;die Arbeit;;;Vokabelliste_Mutterschutz.txt
ужин;der Abendessen;;;Vokabelliste_Mutterschutz.txt
мама;die Mama;;;workbook_p_100.txt
сова или жаворонок?;Eule oder Lerche? (Nachtmensch oder Frühaufsteher?);;;workbook_p_100.txt
день;Tag;männl. Subst.;день, дня, день;Frauen im Mutterschutz.txt
обе́д;Mittagessen;;;Russisch_5_1_Vokabeln_Quizlet.txt
обедаем;wir essen zu Mittag;НСВ, 1л. мн.ч.;;AI: МОЯ ФИРМА
директор;Direktor;männl.;;МОЯ ФИРМА.txt
вещь;Sache, Ding;Substantiv, weibl.;;Das laute Büro.txt
Миша;Mischa;männl. Kosename;;МОЯ ФИРМА.txt
маленькие дети;kleine Kinder;;;workbook_p_100.txt
телевизор;Fernseher;Substantiv, männl.;;Frank und seine Hobbies.txt
разговаривать;sprechen, sich unterhalten;Verb, unvollendeter Aspekt;;Das laute Büro.txt
сова́;Eule;;;Russisch_5_1_Vokabeln_Quizlet.txt
ходить в школу;zur Schule gehen;;;workbook_p_100.txt
например;zum Beispiel;Adverb;Например;Frauen im Mutterschutz.txt
заниматься;sich beschäftigen mit;unvollendeter Aspekt;заниматься, заниматься;Frauen im Mutterschutz.txt
В шесть часов тридцать минут я встаю.;Ich stehe um 6:30 auf.;;;Vokabeln Homework 06-02-26.txt
солнце;die Sonne;;;workbook_p_100.txt
у неё есть;sie hat;Besitzkonstruktion;;МОЯ ФИРМА.txt
смотреть новости в Интернете;Nachrichten im Internet schauen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
умственная одарённость;die geistige Hochbegabung;;;Vokabeln - Einführung Psychoanalyse.txt
книга;das Buch;;;Vokabelliste_Mutterschutz.txt
дие́та;Diät;;;Russisch_5_1_Vokabeln_Quizlet.txt
их;sie (Akk.);Personalpronomen, 3. Pers. Pl., Akk.;;МОЯ ФИРМА.txt
де́душка;der Großvater (Opa);;;Familie.txt
обычно;gewöhnlich, normalerweise;Adverb;;AI: МОЯ ФИРМА
неё;ihr;Personalpronomen, 3. Pers. Sg. weibl., Gen.;;МОЯ ФИРМА.txt
бы́стро;schnell;;;Russisch_5_1_Vokabeln_Quizlet.txt
они́ бу́дут;sie werden;;;Russisch_5_1_Vokabeln_Quizlet.txt
Сергей;Sergej;männl. Eigenname;;МОЯ ФИРМА.txt
на востоке;im Osten;;;workbook_p_100.txt
говорить с подругами по телефону;mit Freundinnen telefonieren;;;Vokabelliste_Mutterschutz.txt
по;nach, über;Präp. + Dativ;по;Frauen im Mutterschutz.txt
Петрович;Petrowitsch;männl. Patronym;;МОЯ ФИРМА.txt
соба́ка;der Hund;;;Familie.txt
принимать душ;duschen;Verb - Tätigkeit;;Vokabeln Homework 06-02-26.txt
на;auf, an;Präp. + Präpositiv/Akkusativ;на, на;Frauen im Mutterschutz.txt
полка;Regal, Bord;Subst., weibl., Präp. Sg.;;Das laute Büro.txt
домашний;häuslich;Adjektiv;домашние;Frauen im Mutterschutz.txt
1);1);Aufzählungszeichen, erste Nummer;;Frauen im Mutterschutz.txt
нельзя;man darf nicht;Adverb;;Frauen im Mutterschutz.txt
м-м-м;mmm;Interjektion;;МОЯ ФИРМА.txt
сиде́ть на дие́те;Diät machen;;;Russisch_5_1_Vokabeln_Quizlet.txt
должен;muss;Prädikat;должна;Frauen im Mutterschutz.txt
вот как;so also;Wendung;;AI: МОЯ ФИРМА
на нуле;bei null / am Nullpunkt;;;Vokabelliste_Mutterschutz.txt
мужчина;Mann;männl. Subst.;мужчины, Мужчина, мужчина;Frauen im Mutterschutz.txt
мать;die Mutter;;;Familie.txt
время;Zeit;sächl.;;МОЯ ФИРМА.txt
на дискоте́ку;in die Disco;;;Russisch_5_1_Vokabeln_Quizlet.txt
вы;Sie;Personalpronomen, 2. Pers. Pl./Höflichkeitsform;;Das laute Büro.txt
говорить;sprechen, reden;Verb, unvollendeter Aspekt, 1. Pers. Sg. Präs.;;Das laute Büro.txt
должный;müssen;Adjektiv;;Frauen im Mutterschutz.txt
ра́но;früh;;;Russisch_5_1_Vokabeln_Quizlet.txt
2);2);Aufzählungszeichen, zweite Nummer;;Frauen im Mutterschutz.txt
прекрасно;ausgezeichnet, wunderbar;Adv.;;Das laute Büro.txt
дело;Sache, Angelegenheit;sächl. Subst.;дела;Frauen im Mutterschutz.txt
рано;früh;Adverb;;МОЯ ФИРМА.txt
стоять;stehen;Verb, unvollendeter Aspekt;;Das laute Büro.txt
чита́ть;lesen;;;Russisch_5_1_Vokabeln_Quizlet.txt
финансовые проблемы;finanzielle Probleme;;;workbook_p_100.txt
а;aber, und;Konjunktion;А, а;Frauen im Mutterschutz.txt
весёлый;fröhlich;Adjektiv;весёлая;Frauen im Mutterschutz.txt
одеваться;sich anziehen;Reflexives Verb auf -ся;;Vokabeln Homework 06-02-26.txt
хорошо;gut;Adverb;;Frank und seine Hobbies.txt
начина́ться;anfangen / beginnen;;;Russisch_5_1_Vokabeln_Quizlet.txt
так как;da, weil;Konjunktion;;МОЯ ФИРМА.txt
Ромео;Romeo;Eigenname, männl.;;Frank und seine Hobbies.txt
ничего;nichts;Pronomen;Ничего, ничего;Frauen im Mutterschutz.txt
стирать одежду;Kleidung waschen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
в доме всегда беспорядок;zu Hause herrscht immer Chaos;;;workbook_p_100.txt
отдыхать;sich erholen, ausruhen;unvollendeter Aspekt, 3. Pers. Sg.;;Frauen im Mutterschutz.txt
клиент;Kunde, Klient;männl., belebt;;AI: МОЯ ФИРМА
убирать;aufräumen;unvollendeter Aspekt;убирает;Frauen im Mutterschutz.txt
университет;die Universität;;;workbook_p_100.txt
Клаус;Klaus;Eigenname, männl.;;Das laute Büro.txt
Сколько сейчас времени?;Wie spät ist es jetzt?;;;workbook_p_100.txt
видеть;sehen;unvollendeter Aspekt;видим;Frauen im Mutterschutz.txt
секретарша;Sekretärin;weibl.;;МОЯ ФИРМА.txt
цветы;Blumen;Substantiv, männl., Plural;;Das laute Büro.txt
когда;wenn, wann;Konjunktion/Adverb;когда;Frauen im Mutterschutz.txt
телефон;Telefon;männl. Subst.;телефону;Frauen im Mutterschutz.txt
в кино́;ins Kino;;;Russisch_5_1_Vokabeln_Quizlet.txt
бы́стрый;schnell;;;Antonyme.txt
Дмитрий;Dmitrij;männl. Eigenname;;AI: МОЯ ФИРМА
конечно;natürlich;Adverb;Конечно;Frauen im Mutterschutz.txt
сайты;Websites;м, мн.ч.;;AI: МОЯ ФИРМА
кот;Kater;Substantiv, männl.;;Frank und seine Hobbies.txt
во вре́мя;während (+ Genitiv);;;Russisch_5_1_Vokabeln_Quizlet.txt
её;ihr;Possessivpronomen, weibl.;;Frauen im Mutterschutz.txt
агент;Agent;männl.;;МОЯ ФИРМА.txt
идти́;gehen (zu Fuß);;;Russisch_5_1_Vokabeln_Quizlet.txt
до́ма;zu Hause;;;Russisch_5_1_Vokabeln_Quizlet.txt
В десять часов я иду на русский.;Um zehn Uhr gehe ich zum Russisch.;;;Vokabeln Homework 06-02-26.txt
вы бу́дете;ihr werdet / Sie werden;;;Russisch_5_1_Vokabeln_Quizlet.txt
результат;das Ergebnis;;;Vokabelliste_Mutterschutz.txt
занима́ться спо́ртом;Sport treiben;;;Russisch_5_1_Vokabeln_Quizlet.txt
Америка;Amerika;Substantiv, weibl.;;Frank und seine Hobbies.txt
за;für;Präp. + Akk.;;МОЯ ФИРМА.txt
сидеть дома;zu Hause bleiben;Phrasenverb;;Frauen im Mutterschutz.txt
Моя жена красится в семь часов утра.;Meine Frau schminkt sich um 7:00 Uhr.;;;Vokabeln Homework 06-02-26.txt
когда он приходит с работы домой;wenn er von der Arbeit nach Hause kommt;;;Vokabelliste_Mutterschutz.txt
по;über, nach;Präp. + Dativ;;Frauen im Mutterschutz.txt
в бассе́йн;ins Schwimmbad;;;Russisch_5_1_Vokabeln_Quizlet.txt
идти в ресторан;ins Restaurant gehen;в + Akkusativ - Richtung: wohin?;;Vokabeln Homework 06-02-26.txt
есть;sein, haben (Hilfsverb);Kopula;;МОЯ ФИРМА.txt
жа́воронок;Lerche;;;Russisch_5_1_Vokabeln_Quizlet.txt
из;aus;Präposition + Genitiv;;Frank und seine Hobbies.txt
домашние дела;Hausarbeiten;Wortverbindung;домашние дела;Frauen im Mutterschutz.txt
вечером;am Abend;Adverb;вечером;Frauen im Mutterschutz.txt
то есть;das heißt;Modalphrase;то есть;Frauen im Mutterschutz.txt
новый;neu;Adjektiv;новый;Frauen im Mutterschutz.txt
терять мотивацию;die Motivation verlieren;;;Vokabeln Homework 06-02-26.txt
зака́нчиваться;enden / aufhören;;;Russisch_5_1_Vokabeln_Quizlet.txt
гриль;Grill;männl.;;МОЯ ФИРМА.txt
по́сле;nach (+ Genitiv);;;Russisch_5_1_Vokabeln_Quizlet.txt
школа;die Schule;;;workbook_p_100.txt
домашние дела;Hausarbeit;feste Wortverbindung;;Frauen im Mutterschutz.txt
весь;ganz;Pronomen, männl.;;Frauen im Mutterschutz.txt
Петров;Petrow;männl. Nachname;;МОЯ ФИРМА.txt
обе́дать;zu Mittag essen;;;Russisch_5_1_Vokabeln_Quizlet.txt
у нас есть;wir haben;Besitzkonstruktion;;МОЯ ФИРМА.txt
компания;Firma, Unternehmen;Subst., weibl., Präp. Sg.;;Das laute Büro.txt
фильм;der Film;;;workbook_p_100.txt
клиенты;Klienten, Kunden;männl. Plural, belebt;;AI: МОЯ ФИРМА
принима́ть ва́нну;ein Bad nehmen;;;Russisch_5_1_Vokabeln_Quizlet.txt
книга;Buch;weibl. Subst.;книги;Frauen im Mutterschutz.txt
тётя;die Tante;;;Familie.txt
вы;Sie/ihr;Personalpronomen, 2. Pers. Pl.;;AI: МОЯ ФИРМА
тяжёлый;schwer;;;Antonyme.txt
идти́ домо́й;nach Hause gehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
он/она́ идёт;er/sie geht;;;Russisch_5_1_Vokabeln_Quizlet.txt
ты идёшь;du gehst;;;Russisch_5_1_Vokabeln_Quizlet.txt
В двадцать часов я готовлю ужин.;Ich koche mein Abendsessen um 20:00 Uhr.;;;Vokabeln Homework 06-02-26.txt
комфорт;Komfort;männl. Subst.;комфорт;Frauen im Mutterschutz.txt
идти в музей;ins Museum gehen;в + Akkusativ - Richtung: wohin?;;Vokabeln Homework 06-02-26.txt
равно;trotzdem;Adverb;;Frauen im Mutterschutz.txt
жизнь (f);das Leben;;;Vokabelliste_Mutterschutz.txt
пить чай;Tee trinken;;;Russisch_5_1_Vokabeln_Quizlet.txt
до;vor (+ Genitiv);;;Russisch_5_1_Vokabeln_Quizlet.txt
справа;rechts;Adv.;;Das laute Büro.txt
на работе;auf der Arbeit / bei der Arbeit;;;Vokabelliste_Mutterschutz.txt
подруга;Freundin;weibl. Subst.;подругами;Frauen im Mutterschutz.txt
офис;Büro;Subst., männl.;;Das laute Büro.txt
есть;sein, haben;Hilfsverb;;Frank und seine Hobbies.txt
трудный;schwierig;Adjektiv, weibl.;;Frauen im Mutterschutz.txt
на работе;auf der Arbeit;Prepositionalphrase;На работе;Frauen im Mutterschutz.txt
интересный;interessant;Adjektiv;интересная;Frauen im Mutterschutz.txt
по телефону;am Telefon;Prepositionalphrase;по телефону;Frauen im Mutterschutz.txt
музей;das Museum;;;workbook_p_100.txt
ба́бушка;die Großmutter (Oma);;;Familie.txt
поздно;spät;Adverb;;МОЯ ФИРМА.txt
мы;wir;Personalpronomen;мы;Frauen im Mutterschutz.txt
на;auf;Präposition + Präpositiv/Akkusativ;;Frank und seine Hobbies.txt
терять;verlieren;unvollendeter Aspekt;теряет;Frauen im Mutterschutz.txt
брат;der Bruder;;;Familie.txt
послеза́втра;übermorgen;;;Russisch_5_1_Vokabeln_Quizlet.txt
наконец;schließlich;наречие;;AI: МОЯ ФИРМА
встреча;das Treffen / die Besprechung;;;Vokabelliste_Mutterschutz.txt
борщ;Borschtsch;männl.;;МОЯ ФИРМА.txt
Мы с коллегой идём в ресторан с тринадцати часов до тринадцати часов тридцати минут.;Meine Kollegin und ich gehen mittags von 13:00 bis 13:30 ins Restaurant.;;;Vokabeln Homework 06-02-26.txt
но;aber;Konjunktion;Но;Frauen im Mutterschutz.txt
предположение;die Annahme;;;Vokabeln - Einführung Psychoanalyse.txt
классическая музыка;die klassische Musik;;;workbook_p_100.txt
вот;da ist, hier ist;Partikel;;МОЯ ФИРМА.txt
шко́ла;Schule;;;Bilder-Test.txt
то;dann, das;Partikel/Pronomen;то;Frauen im Mutterschutz.txt
профессор;Professor;Substantiv, männl.;;Frank und seine Hobbies.txt
жизнь;das Leben;;;workbook_p_100.txt
добрый;gut;Adjektiv, männl., Nominativ Sg.;;Das laute Büro.txt
Обычно вечером я смотрю телевизор с двадцати часов до двадцати четырёх часов.;Normalerweise schaue ich abends von 20:00 bis 24:00 Uhr fern.;;;Vokabeln Homework 06-02-26.txt
чита́ть газе́ту;Zeitung lesen;;;Russisch_5_1_Vokabeln_Quizlet.txt
кра́ситься;sich schminken;;;Russisch_5_1_Vokabeln_Quizlet.txt
женщина;die Frau;;;workbook_p_100.txt
ужинать;zu Abend essen;Verb - Tätigkeit;;Vokabeln Homework 06-02-26.txt
мотивация;die Motivation;;;Vokabelliste_Mutterschutz.txt
лёгкий;leicht;;;Antonyme.txt
семья;die Familie;;;workbook_p_100.txt
отдыхать;sich ausruhen / sich erholen;;;Vokabelliste_Mutterschutz.txt
а что если ...?, und was ist;wenn ...?;;;Vokabelliste_Mutterschutz.txt
